LATEX ERROR FULL REPORT
============================================================
Total errors: 5150
question_text: 755
options: 462
explanation: 3933
============================================================

JM19 | question_text | Malformed trig^2 inside \frac numerator
JM19 | question_text | Malformed trig^2 inside \frac numerator
JM19 | explanation | Malformed trig^2 inside \frac numerator
JM19 | explanation | Malformed trig^2 inside \frac numerator
JM19 | explanation | Malformed trig^2 inside \frac numerator
JM19 | explanation | Malformed trig^2 inside \frac numerator
JM20 | explanation | Missing backslash before: tan
JM20 | explanation | Missing backslash before: tan
JM20 | explanation | Missing backslash before: cos
JM20 | explanation | Missing backslash before: cos
JM20 | explanation | Missing backslash before: cos
JM20 | explanation | Missing backslash before: cos
JM20 | explanation | Missing backslash before: sin
JM20 | explanation | Missing backslash before: sin
JM20 | explanation | Missing backslash before: cos
JM21 | question_text | Missing backslash before: cos
JM21 | question_text | Missing backslash before: sin
JM21 | explanation | Missing backslash before: cos
JM21 | explanation | Missing backslash before: sin
JM21 | explanation | Missing backslash before: sin
JM21 | explanation | Missing backslash before: cos
JM21 | explanation | Missing backslash before: sin
JM21 | explanation | Missing backslash before: cos
JM21 | explanation | Missing backslash before: sin
JM21 | explanation | Malformed trig^2 inside \frac numerator
JM22 | question_text | Missing backslash before: sin
JM22 | question_text | Missing backslash before: sin
JM22 | question_text | Missing backslash before: cos
JM22 | question_text | Missing backslash before: sin
JM22 | explanation | Missing backslash before: sin
JM22 | explanation | Missing backslash before: cos
JM22 | explanation | Missing backslash before: sin
JM22 | explanation | Missing backslash before: sin
JM22 | explanation | Missing backslash before: cos
JM22 | explanation | Missing backslash before: sin
JM24 | question_text | Missing backslash before: cos
JM26 | question_text | Missing backslash before: log
JM26 | question_text | Missing backslash before: log
JM26 | question_text | Missing backslash before: log
JM26 | question_text | Missing backslash before: log
JM27 | question_text | Missing backslash before: sin
JM27 | question_text | Missing backslash before: cos
JM27 | question_text | Missing backslash before: sec
JM28 | question_text | Missing \frac: {{7\pi }}{{18}}
JM28 | question_text | Missing \frac: {{5\pi }}{{18}}
JM29 | explanation | Missing \frac: {{{\sqrt 3 + 1}}{{2\sqrt 2}}
JM29 | explanation | Missing \frac: {{{\sqrt 3 - 1}}{{2\sqrt 2}}
JM29 | explanation | Missing \frac: {{{\sqrt 3 + 1}}{{2\sqrt 2}}
JM29 | explanation | Missing \frac: {{{\sqrt 3 - 1}}{{2\sqrt 2}}
JM30 | question_text | Missing backslash before: sin
JM30 | question_text | Missing backslash before: cos
JM30 | question_text | Missing backslash before: sin
JM30 | explanation | Malformed trig^2 inside \frac numerator
JM31 | explanation | Malformed trig^2 inside \frac numerator
JM31 | explanation | Malformed trig^2 inside \frac numerator
JM31 | explanation | Malformed trig^2 inside \frac numerator
JM31 | explanation | Malformed trig^2 inside \frac numerator
JM31 | explanation | Malformed trig^2 inside \frac numerator
JM31 | explanation | Malformed trig^2 inside \frac numerator
JM31 | explanation | Malformed trig^2 inside \frac numerator
JM31 | explanation | Malformed trig^2 inside \frac numerator
JM32 | question_text | Missing backslash before: cot
JM32 | question_text | Missing backslash before: sec
JM35 | question_text | Malformed trig^2 inside \frac numerator
JM37 | question_text | Missing backslash before: sin
JM37 | question_text | Missing backslash before: sin
JM38 | explanation | Missing \frac: {{11\pi - 10\pi }}{{22}}
JM38 | explanation | Missing \frac: {{11\pi - 8\pi }}{{22}}
JM38 | explanation | Missing \frac: {{11\pi - 6\pi }}{{22}}
JM38 | explanation | Missing \frac: {{11\pi - 4\pi }}{{22}}
JM38 | explanation | Missing \frac: {{11\pi - 2\pi }}{{22}}
JM38 | explanation | Missing \frac: {{32\pi \frac{}}{{11}}
JM44 | explanation | Malformed trig^2 inside \frac numerator
JM44 | explanation | Malformed trig^2 inside \frac numerator
JM95 | explanation | Missing backslash before: cos
JM95 | explanation | Missing backslash before: cos
JM95 | explanation | Malformed trig^2 inside \frac numerator
JM98 | explanation | Missing backslash before: cos
JM98 | explanation | Missing backslash before: sin
JM98 | explanation | Missing backslash before: cos
JM98 | explanation | Missing backslash before: sin
JM98 | explanation | Missing backslash before: tan
JM111 | explanation | Missing backslash before: sin
JM111 | explanation | Missing backslash before: cos
JM118 | option[0] | Missing backslash before: cos
JM118 | option[0] | Missing backslash before: cos
JM118 | explanation | Missing backslash before: sin
JM118 | explanation | Missing backslash before: cos
JM118 | explanation | Missing backslash before: cos
JM118 | explanation | Missing backslash before: sin
JM118 | explanation | Missing backslash before: sin
JM118 | explanation | Missing backslash before: cos
JM118 | explanation | Missing backslash before: cos
JM118 | explanation | Missing backslash before: sin
JM126 | explanation | Missing backslash before: sin
JM127 | explanation | Missing backslash before: cos
JM127 | explanation | Missing backslash before: sin
JM132 | explanation | Missing backslash before: sin
JM132 | explanation | Missing backslash before: sin
JM132 | explanation | Missing backslash before: sin
JM132 | explanation | Missing backslash before: sin
JM132 | explanation | Missing backslash before: sin
JM132 | explanation | Missing backslash before: sin
JM132 | explanation | Missing backslash before: sin
JM132 | explanation | Missing backslash before: sin
JM134 | question_text | Missing backslash before: sin
JM134 | question_text | Missing backslash before: cos
JM134 | explanation | Missing backslash before: cos
JM134 | explanation | Missing backslash before: sin
JM134 | explanation | Missing backslash before: cos
JM134 | explanation | Missing backslash before: sin
JM134 | explanation | Missing backslash before: cos
JM134 | explanation | Missing backslash before: sin
JM134 | explanation | Missing backslash before: cos
JM134 | explanation | Missing backslash before: sin
JM134 | explanation | Missing backslash before: sin
JM134 | explanation | Missing backslash before: cos
JM134 | explanation | Missing backslash before: sin
JM134 | explanation | Missing backslash before: sin
JM134 | explanation | Missing backslash before: sin
JM134 | explanation | Missing backslash before: sin
JM134 | explanation | Missing backslash before: sin
JM134 | explanation | Missing backslash before: sin
JM134 | explanation | Missing backslash before: sin
